projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_103,1667897836.281,-993,1669,746,3408,2022-11-08 08:57:16.280999899,
SCAI-SENSEI,user_sensei_103,1667897836.4795296,-1025,1781,801,3607,2022-11-08 08:57:16.479529619,
SCAI-SENSEI,user_sensei_103,1667897836.6780589,-1053,1606,622,3281,2022-11-08 08:57:16.678058863,
SCAI-SENSEI,user_sensei_103,1667897836.8765883,-1189,1455,357,3001,2022-11-08 08:57:16.876588345,
SCAI-SENSEI,user_sensei_103,1667897837.0751178,-637,2406,731,3774,2022-11-08 08:57:17.075117826,
SCAI-SENSEI,user_sensei_103,1667897837.273647,186,1864,203,2253,2022-11-08 08:57:17.273647070,
SCAI-SENSEI,user_sensei_103,1667897837.4721766,115,1840,98,2053,2022-11-08 08:57:17.472176552,
SCAI-SENSEI,user_sensei_103,1667897837.670706,-1077,2260,-113,3450,2022-11-08 08:57:17.670706034,
SCAI-SENSEI,user_sensei_103,1667897837.8692355,-1302,1518,-201,3021,2022-11-08 08:57:17.869235516,
SCAI-SENSEI,user_sensei_103,1667897838.067765,-1265,1723,210,3198,2022-11-08 08:57:18.067764997,
SCAI-SENSEI,user_sensei_103,1667897838.2662942,-459,1422,1061,2942,2022-11-08 08:57:18.266294241,
SCAI-SENSEI,user_sensei_103,1667897838.4648235,-580,1903,1063,3546,2022-11-08 08:57:18.464823484,
SCAI-SENSEI,user_sensei_103,1667897838.663353,-1505,1869,446,3820,2022-11-08 08:57:18.663352966,
SCAI-SENSEI,user_sensei_103,1667897838.8618824,-1307,1498,448,3253,2022-11-08 08:57:18.861882448,
SCAI-SENSEI,user_sensei_103,1667897839.060412,-871,1692,658,3221,2022-11-08 08:57:19.060411930,
SCAI-SENSEI,user_sensei_103,1667897839.2589412,-622,1707,748,3077,2022-11-08 08:57:19.258941174,
SCAI-SENSEI,user_sensei_103,1667897839.457471,-628,1769,755,3152,2022-11-08 08:57:19.457470894,
SCAI-SENSEI,user_sensei_103,1667897839.656,-729,1719,686,3134,2022-11-08 08:57:19.655999899,
SCAI-SENSEI,user_sensei_103,1667897839.8545296,-827,1736,724,3287,2022-11-08 08:57:19.854529619,
SCAI-SENSEI,user_sensei_103,1667897840.053059,-867,1769,704,3340,2022-11-08 08:57:20.053059101,
SCAI-SENSEI,user_sensei_103,1667897840.2515883,-896,1656,756,3308,2022-11-08 08:57:20.251588345,
SCAI-SENSEI,user_sensei_103,1667897840.4501178,-891,1681,736,3308,2022-11-08 08:57:20.450117826,
SCAI-SENSEI,user_sensei_103,1667897840.6486473,-914,1677,750,3341,2022-11-08 08:57:20.648647308,
