time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1668608991.002,SCAI-SENSEI,sensei-188,-0.088,-0.414,0.939,1.4409999999999998,2022-11-16 14:29:51.002000093
1668608991.012,SCAI-SENSEI,sensei-188,-0.092,-0.416,0.943,1.451,2022-11-16 14:29:51.012000084
1668608991.022,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.022000074
1668608991.032,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.943,1.4489999999999998,2022-11-16 14:29:51.032000065
1668608991.042,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.042000055
1668608991.052,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.945,1.4529999999999998,2022-11-16 14:29:51.052000046
1668608991.062,SCAI-SENSEI,sensei-188,-0.086,-0.414,0.941,1.4409999999999998,2022-11-16 14:29:51.062000036
1668608991.072,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.941,1.4489999999999998,2022-11-16 14:29:51.072000027
1668608991.082,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.941,1.447,2022-11-16 14:29:51.082000017
1668608991.092,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.945,1.451,2022-11-16 14:29:51.092000008
1668608991.102,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.945,1.4489999999999998,2022-11-16 14:29:51.101999998
1668608991.112,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.945,1.4489999999999998,2022-11-16 14:29:51.111999989
1668608991.122,SCAI-SENSEI,sensei-188,-0.086,-0.42,0.941,1.447,2022-11-16 14:29:51.121999979
1668608991.132,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.941,1.4489999999999998,2022-11-16 14:29:51.131999969
1668608991.142,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.943,1.451,2022-11-16 14:29:51.141999960
1668608991.152,SCAI-SENSEI,sensei-188,-0.088,-0.42,0.945,1.4529999999999998,2022-11-16 14:29:51.151999950
1668608991.162,SCAI-SENSEI,sensei-188,-0.086,-0.414,0.941,1.4409999999999998,2022-11-16 14:29:51.161999941
1668608991.172,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.943,1.4489999999999998,2022-11-16 14:29:51.171999931
1668608991.182,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.941,1.447,2022-11-16 14:29:51.181999922
1668608991.192,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.938,1.444,2022-11-16 14:29:51.191999912
1668608991.202,SCAI-SENSEI,sensei-188,-0.094,-0.416,0.941,1.451,2022-11-16 14:29:51.201999903
1668608991.212,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.941,1.4489999999999998,2022-11-16 14:29:51.211999893
1668608991.222,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.941,1.447,2022-11-16 14:29:51.221999884
1668608991.232,SCAI-SENSEI,sensei-188,-0.09,-0.414,0.943,1.447,2022-11-16 14:29:51.232000113
1668608991.242,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.242000103
1668608991.252,SCAI-SENSEI,sensei-188,-0.09,-0.414,0.943,1.447,2022-11-16 14:29:51.252000092
1668608991.262,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.941,1.447,2022-11-16 14:29:51.262000084
1668608991.272,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.945,1.451,2022-11-16 14:29:51.272000074
1668608991.282,SCAI-SENSEI,sensei-188,-0.086,-0.416,0.941,1.443,2022-11-16 14:29:51.282000065
1668608991.292,SCAI-SENSEI,sensei-188,-0.09,-0.42,0.957,1.467,2022-11-16 14:29:51.292000055
1668608991.302,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.943,1.447,2022-11-16 14:29:51.302000046
1668608991.312,SCAI-SENSEI,sensei-188,-0.088,-0.42,0.943,1.451,2022-11-16 14:29:51.312000036
1668608991.322,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.943,1.4489999999999998,2022-11-16 14:29:51.322000027
1668608991.332,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.943,1.4489999999999998,2022-11-16 14:29:51.332000017
1668608991.342,SCAI-SENSEI,sensei-188,-0.088,-0.412,0.943,1.443,2022-11-16 14:29:51.342000008
1668608991.352,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.943,1.447,2022-11-16 14:29:51.351999998
1668608991.362,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.941,1.447,2022-11-16 14:29:51.361999989
1668608991.372,SCAI-SENSEI,sensei-188,-0.09,-0.42,0.943,1.4529999999999998,2022-11-16 14:29:51.371999979
1668608991.382,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.941,1.447,2022-11-16 14:29:51.381999969
1668608991.392,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.945,1.4529999999999998,2022-11-16 14:29:51.391999960
1668608991.402,SCAI-SENSEI,sensei-188,-0.086,-0.42,0.943,1.4489999999999998,2022-11-16 14:29:51.401999950
1668608991.412,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.943,1.447,2022-11-16 14:29:51.411999941
1668608991.422,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.421999931
1668608991.432,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.943,1.451,2022-11-16 14:29:51.431999922
1668608991.442,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.441999912
1668608991.452,SCAI-SENSEI,sensei-188,-0.09,-0.414,0.941,1.4449999999999998,2022-11-16 14:29:51.451999903
1668608991.462,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.939,1.4449999999999998,2022-11-16 14:29:51.461999893
1668608991.472,SCAI-SENSEI,sensei-188,-0.092,-0.418,0.941,1.451,2022-11-16 14:29:51.471999884
1668608991.482,SCAI-SENSEI,sensei-188,-0.09,-0.42,0.943,1.4529999999999998,2022-11-16 14:29:51.482000113
1668608991.492,SCAI-SENSEI,sensei-188,-0.088,-0.42,0.947,1.455,2022-11-16 14:29:51.492000103
1668608991.502,SCAI-SENSEI,sensei-188,-0.084,-0.418,0.943,1.4449999999999998,2022-11-16 14:29:51.502000093
1668608991.512,SCAI-SENSEI,sensei-188,-0.088,-0.422,0.943,1.4529999999999998,2022-11-16 14:29:51.512000083
1668608991.522,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.939,1.4449999999999998,2022-11-16 14:29:51.522000074
1668608991.532,SCAI-SENSEI,sensei-188,-0.092,-0.418,0.938,1.448,2022-11-16 14:29:51.532000064
1668608991.542,SCAI-SENSEI,sensei-188,-0.094,-0.414,0.939,1.447,2022-11-16 14:29:51.542000055
1668608991.552,SCAI-SENSEI,sensei-188,-0.092,-0.412,0.939,1.443,2022-11-16 14:29:51.552000046
1668608991.562,SCAI-SENSEI,sensei-188,-0.092,-0.412,0.943,1.447,2022-11-16 14:29:51.562000036
1668608991.572,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.945,1.4489999999999998,2022-11-16 14:29:51.572000027
1668608991.582,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.947,1.451,2022-11-16 14:29:51.582000017
1668608991.592,SCAI-SENSEI,sensei-188,-0.084,-0.42,0.957,1.4609999999999999,2022-11-16 14:29:51.592000008
1668608991.602,SCAI-SENSEI,sensei-188,-0.084,-0.42,0.943,1.447,2022-11-16 14:29:51.601999998
1668608991.612,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.945,1.451,2022-11-16 14:29:51.611999989
1668608991.622,SCAI-SENSEI,sensei-188,-0.086,-0.416,0.943,1.4449999999999998,2022-11-16 14:29:51.621999979
1668608991.632,SCAI-SENSEI,sensei-188,-0.088,-0.42,0.949,1.4569999999999999,2022-11-16 14:29:51.631999969
1668608991.642,SCAI-SENSEI,sensei-188,-0.082,-0.414,0.945,1.4409999999999998,2022-11-16 14:29:51.641999960
1668608991.652,SCAI-SENSEI,sensei-188,-0.086,-0.416,0.939,1.4409999999999998,2022-11-16 14:29:51.651999950
1668608991.662,SCAI-SENSEI,sensei-188,-0.092,-0.418,0.941,1.451,2022-11-16 14:29:51.661999941
1668608991.672,SCAI-SENSEI,sensei-188,-0.09,-0.414,0.939,1.443,2022-11-16 14:29:51.671999931
1668608991.682,SCAI-SENSEI,sensei-188,-0.092,-0.416,0.941,1.4489999999999998,2022-11-16 14:29:51.681999922
1668608991.692,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.943,1.4489999999999998,2022-11-16 14:29:51.691999912
1668608991.702,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.947,1.4529999999999998,2022-11-16 14:29:51.701999903
1668608991.712,SCAI-SENSEI,sensei-188,-0.084,-0.418,0.947,1.4489999999999998,2022-11-16 14:29:51.711999893
1668608991.722,SCAI-SENSEI,sensei-188,-0.084,-0.418,0.941,1.443,2022-11-16 14:29:51.721999884
1668608991.732,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.943,1.4489999999999998,2022-11-16 14:29:51.732000113
1668608991.742,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.941,1.447,2022-11-16 14:29:51.742000103
1668608991.752,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.943,1.4489999999999998,2022-11-16 14:29:51.752000093
1668608991.762,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.762000084
1668608991.772,SCAI-SENSEI,sensei-188,-0.09,-0.414,0.945,1.4489999999999998,2022-11-16 14:29:51.772000074
1668608991.782,SCAI-SENSEI,sensei-188,-0.086,-0.414,0.943,1.443,2022-11-16 14:29:51.782000065
1668608991.792,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.943,1.447,2022-11-16 14:29:51.792000055
1668608991.802,SCAI-SENSEI,sensei-188,-0.088,-0.414,0.943,1.4449999999999998,2022-11-16 14:29:51.802000046
1668608991.812,SCAI-SENSEI,sensei-188,-0.088,-0.414,0.949,1.451,2022-11-16 14:29:51.812000036
1668608991.822,SCAI-SENSEI,sensei-188,-0.082,-0.418,0.945,1.4449999999999998,2022-11-16 14:29:51.822000027
1668608991.832,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.947,1.451,2022-11-16 14:29:51.832000017
1668608991.842,SCAI-SENSEI,sensei-188,-0.084,-0.416,0.939,1.439,2022-11-16 14:29:51.842000008
1668608991.852,SCAI-SENSEI,sensei-188,-0.092,-0.416,0.941,1.4489999999999998,2022-11-16 14:29:51.851999998
1668608991.862,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.941,1.4489999999999998,2022-11-16 14:29:51.861999989
1668608991.872,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.941,1.447,2022-11-16 14:29:51.871999979
1668608991.882,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.941,1.447,2022-11-16 14:29:51.881999969
1668608991.892,SCAI-SENSEI,sensei-188,-0.09,-0.412,0.957,1.459,2022-11-16 14:29:51.891999960
1668608991.902,SCAI-SENSEI,sensei-188,-0.086,-0.416,0.943,1.4449999999999998,2022-11-16 14:29:51.901999950
1668608991.912,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.939,1.443,2022-11-16 14:29:51.911999941
1668608991.922,SCAI-SENSEI,sensei-188,-0.092,-0.416,0.941,1.4489999999999998,2022-11-16 14:29:51.921999931
1668608991.932,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.941,1.447,2022-11-16 14:29:51.931999922
1668608991.942,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.945,1.4529999999999998,2022-11-16 14:29:51.941999912
1668608991.952,SCAI-SENSEI,sensei-188,-0.086,-0.42,0.945,1.451,2022-11-16 14:29:51.951999903
1668608991.962,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.943,1.447,2022-11-16 14:29:51.961999893
1668608991.972,SCAI-SENSEI,sensei-188,-0.088,-0.414,0.943,1.4449999999999998,2022-11-16 14:29:51.971999884
1668608991.982,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:51.982000113
1668608991.992,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.941,1.4489999999999998,2022-11-16 14:29:51.992000103
1668608992.002,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.941,1.447,2022-11-16 14:29:52.002000093
1668608992.012,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.943,1.451,2022-11-16 14:29:52.012000084
1668608992.022,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.943,1.4489999999999998,2022-11-16 14:29:52.022000074
1668608992.032,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.945,1.4489999999999998,2022-11-16 14:29:52.032000065
1668608992.042,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.945,1.4489999999999998,2022-11-16 14:29:52.042000055
1668608992.052,SCAI-SENSEI,sensei-188,-0.086,-0.414,0.943,1.443,2022-11-16 14:29:52.052000046
1668608992.062,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.943,1.4489999999999998,2022-11-16 14:29:52.062000036
1668608992.072,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.941,1.4449999999999998,2022-11-16 14:29:52.072000027
1668608992.082,SCAI-SENSEI,sensei-188,-0.09,-0.418,0.941,1.4489999999999998,2022-11-16 14:29:52.082000017
1668608992.092,SCAI-SENSEI,sensei-188,-0.09,-0.416,0.943,1.4489999999999998,2022-11-16 14:29:52.092000008
1668608992.102,SCAI-SENSEI,sensei-188,-0.088,-0.416,0.943,1.447,2022-11-16 14:29:52.101999998
1668608992.112,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.943,1.4489999999999998,2022-11-16 14:29:52.111999989
1668608992.122,SCAI-SENSEI,sensei-188,-0.088,-0.418,0.945,1.451,2022-11-16 14:29:52.121999979
1668608992.132,SCAI-SENSEI,sensei-188,-0.086,-0.416,0.941,1.443,2022-11-16 14:29:52.131999969
1668608992.142,SCAI-SENSEI,sensei-188,-0.09,-0.42,0.938,1.448,2022-11-16 14:29:52.141999960
1668608992.152,SCAI-SENSEI,sensei-188,-0.094,-0.422,0.947,1.463,2022-11-16 14:29:52.151999950
1668608992.162,SCAI-SENSEI,sensei-188,-0.084,-0.42,0.943,1.447,2022-11-16 14:29:52.161999941
1668608992.172,SCAI-SENSEI,sensei-188,-0.088,-0.412,0.965,1.4649999999999999,2022-11-16 14:29:52.171999931
1668608992.182,SCAI-SENSEI,sensei-188,-0.098,-0.412,0.967,1.4769999999999999,2022-11-16 14:29:52.181999922
1668608992.192,SCAI-SENSEI,sensei-188,-0.096,-0.416,0.957,1.4689999999999999,2022-11-16 14:29:52.191999912
1668608992.202,SCAI-SENSEI,sensei-188,-0.086,-0.41,0.943,1.439,2022-11-16 14:29:52.201999903
1668608992.212,SCAI-SENSEI,sensei-188,-0.088,-0.412,0.945,1.4449999999999998,2022-11-16 14:29:52.211999893
1668608992.222,SCAI-SENSEI,sensei-188,-0.086,-0.418,0.951,1.455,2022-11-16 14:29:52.221999884
1668608992.232,SCAI-SENSEI,sensei-188,-0.08,-0.42,0.943,1.443,2022-11-16 14:29:52.232000113
1668608992.242,SCAI-SENSEI,sensei-188,-0.088,-0.422,0.938,1.448,2022-11-16 14:29:52.242000103
