time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1667900290.532,SCAI-SENSEI,sensei-103,0.895,-0.424,0.258,1.577,2022-11-08 09:38:10.532000064
1667900290.542,SCAI-SENSEI,sensei-103,0.883,-0.408,0.219,1.51,2022-11-08 09:38:10.542000055
1667900290.552,SCAI-SENSEI,sensei-103,0.906,-0.377,0.279,1.5619999999999998,2022-11-08 09:38:10.552000046
1667900290.562,SCAI-SENSEI,sensei-103,0.904,-0.393,0.242,1.5390000000000001,2022-11-08 09:38:10.562000036
1667900290.572,SCAI-SENSEI,sensei-103,0.773,-0.451,0.299,1.523,2022-11-08 09:38:10.572000027
1667900290.582,SCAI-SENSEI,sensei-103,1.018,-0.295,0.25,1.563,2022-11-08 09:38:10.582000017
1667900290.592,SCAI-SENSEI,sensei-103,0.906,-0.352,0.279,1.537,2022-11-08 09:38:10.592000008
1667900290.602,SCAI-SENSEI,sensei-103,0.936,-0.371,0.338,1.645,2022-11-08 09:38:10.601999998
1667900290.612,SCAI-SENSEI,sensei-103,0.9,-0.318,0.252,1.47,2022-11-08 09:38:10.611999989
1667900290.622,SCAI-SENSEI,sensei-103,0.846,-0.408,0.324,1.578,2022-11-08 09:38:10.621999979
1667900290.632,SCAI-SENSEI,sensei-103,0.887,-0.287,0.279,1.4529999999999998,2022-11-08 09:38:10.631999969
1667900290.642,SCAI-SENSEI,sensei-103,0.904,-0.299,0.252,1.455,2022-11-08 09:38:10.641999960
1667900290.652,SCAI-SENSEI,sensei-103,0.908,-0.266,0.258,1.432,2022-11-08 09:38:10.651999950
1667900290.662,SCAI-SENSEI,sensei-103,0.914,-0.242,0.266,1.4220000000000002,2022-11-08 09:38:10.661999941
1667900290.672,SCAI-SENSEI,sensei-103,0.922,-0.234,0.271,1.427,2022-11-08 09:38:10.671999931
1667900290.682,SCAI-SENSEI,sensei-103,0.928,-0.236,0.27,1.4340000000000002,2022-11-08 09:38:10.681999922
1667900290.692,SCAI-SENSEI,sensei-103,0.926,-0.23,0.266,1.4220000000000002,2022-11-08 09:38:10.691999912
1667900290.702,SCAI-SENSEI,sensei-103,0.922,-0.229,0.262,1.413,2022-11-08 09:38:10.701999903
1667900290.712,SCAI-SENSEI,sensei-103,0.918,-0.227,0.264,1.409,2022-11-08 09:38:10.711999893
1667900290.722,SCAI-SENSEI,sensei-103,0.92,-0.232,0.266,1.4180000000000001,2022-11-08 09:38:10.721999884
1667900290.732,SCAI-SENSEI,sensei-103,0.922,-0.225,0.301,1.448,2022-11-08 09:38:10.732000113
1667900290.742,SCAI-SENSEI,sensei-103,0.926,-0.227,0.297,1.45,2022-11-08 09:38:10.742000103
1667900290.752,SCAI-SENSEI,sensei-103,0.922,-0.227,0.303,1.452,2022-11-08 09:38:10.752000093
1667900290.762,SCAI-SENSEI,sensei-103,0.928,-0.232,0.301,1.461,2022-11-08 09:38:10.762000084
1667900290.772,SCAI-SENSEI,sensei-103,0.926,-0.227,0.303,1.456,2022-11-08 09:38:10.772000074
1667900290.782,SCAI-SENSEI,sensei-103,0.928,-0.217,0.34,1.485,2022-11-08 09:38:10.782000065
1667900290.792,SCAI-SENSEI,sensei-103,0.934,-0.225,0.312,1.471,2022-11-08 09:38:10.792000055
1667900290.802,SCAI-SENSEI,sensei-103,0.938,-0.221,0.342,1.5010000000000001,2022-11-08 09:38:10.802000046
1667900290.812,SCAI-SENSEI,sensei-103,0.936,-0.219,0.301,1.456,2022-11-08 09:38:10.812000036
1667900290.822,SCAI-SENSEI,sensei-103,0.943,-0.223,0.324,1.49,2022-11-08 09:38:10.822000027
1667900290.832,SCAI-SENSEI,sensei-103,0.949,-0.25,0.318,1.517,2022-11-08 09:38:10.832000017
1667900290.842,SCAI-SENSEI,sensei-103,0.943,-0.26,0.309,1.5119999999999998,2022-11-08 09:38:10.842000008
1667900290.852,SCAI-SENSEI,sensei-103,0.934,-0.258,0.281,1.4730000000000003,2022-11-08 09:38:10.851999998
1667900290.862,SCAI-SENSEI,sensei-103,0.938,-0.26,0.342,1.54,2022-11-08 09:38:10.861999989
1667900290.872,SCAI-SENSEI,sensei-103,0.936,-0.271,0.334,1.5410000000000001,2022-11-08 09:38:10.871999979
1667900290.882,SCAI-SENSEI,sensei-103,0.928,-0.268,0.34,1.5360000000000003,2022-11-08 09:38:10.881999969
1667900290.892,SCAI-SENSEI,sensei-103,0.934,-0.281,0.312,1.5270000000000001,2022-11-08 09:38:10.891999960
1667900290.902,SCAI-SENSEI,sensei-103,0.938,-0.279,0.324,1.5410000000000001,2022-11-08 09:38:10.901999950
1667900290.912,SCAI-SENSEI,sensei-103,0.918,-0.283,0.33,1.5310000000000001,2022-11-08 09:38:10.911999941
1667900290.922,SCAI-SENSEI,sensei-103,0.924,-0.281,0.34,1.5450000000000002,2022-11-08 09:38:10.921999931
1667900290.932,SCAI-SENSEI,sensei-103,0.934,-0.264,0.334,1.532,2022-11-08 09:38:10.931999922
1667900290.942,SCAI-SENSEI,sensei-103,0.928,-0.256,0.299,1.483,2022-11-08 09:38:10.941999912
1667900290.952,SCAI-SENSEI,sensei-103,0.924,-0.264,0.295,1.483,2022-11-08 09:38:10.951999903
1667900290.962,SCAI-SENSEI,sensei-103,0.92,-0.264,0.25,1.4340000000000002,2022-11-08 09:38:10.961999893
1667900290.972,SCAI-SENSEI,sensei-103,0.906,-0.246,0.256,1.4080000000000001,2022-11-08 09:38:10.971999884
1667900290.982,SCAI-SENSEI,sensei-103,0.912,-0.246,0.264,1.422,2022-11-08 09:38:10.982000113
1667900290.992,SCAI-SENSEI,sensei-103,0.92,-0.248,0.297,1.465,2022-11-08 09:38:10.992000103
1667900291.002,SCAI-SENSEI,sensei-103,0.922,-0.254,0.266,1.4420000000000002,2022-11-08 09:38:11.002000093
