projectId,userId,time,x,y,z,1d_signal,timestamp
SCAI-SENSEI,user_sensei_103,1667897851.674,-817,1684,816,3317,2022-11-08 08:57:31.674000025
SCAI-SENSEI,user_sensei_103,1667897851.874,-826,1709,837,3372,2022-11-08 08:57:31.874000072
SCAI-SENSEI,user_sensei_103,1667897852.074,-833,1665,850,3348,2022-11-08 08:57:32.073999882
SCAI-SENSEI,user_sensei_103,1667897852.274,-817,1647,824,3288,2022-11-08 08:57:32.273999929
SCAI-SENSEI,user_sensei_103,1667897852.474,-825,1651,861,3337,2022-11-08 08:57:32.473999977
SCAI-SENSEI,user_sensei_103,1667897852.674,-838,1658,855,3351,2022-11-08 08:57:32.674000025
SCAI-SENSEI,user_sensei_103,1667897852.874,-817,1679,835,3331,2022-11-08 08:57:32.874000072
SCAI-SENSEI,user_sensei_103,1667897853.074,-822,1668,813,3303,2022-11-08 08:57:33.073999882
SCAI-SENSEI,user_sensei_103,1667897853.274,-825,1680,835,3340,2022-11-08 08:57:33.273999929
SCAI-SENSEI,user_sensei_103,1667897853.474,-829,1685,807,3321,2022-11-08 08:57:33.473999977
SCAI-SENSEI,user_sensei_103,1667897853.674,-819,1682,792,3293,2022-11-08 08:57:33.674000025
SCAI-SENSEI,user_sensei_103,1667897853.874,-831,1682,814,3327,2022-11-08 08:57:33.874000072
SCAI-SENSEI,user_sensei_103,1667897854.074,-821,1687,810,3318,2022-11-08 08:57:34.073999882
SCAI-SENSEI,user_sensei_103,1667897854.274,-819,1688,814,3321,2022-11-08 08:57:34.273999929
SCAI-SENSEI,user_sensei_103,1667897854.474,-819,1684,804,3307,2022-11-08 08:57:34.473999977
SCAI-SENSEI,user_sensei_103,1667897854.674,-826,1690,822,3338,2022-11-08 08:57:34.674000025
SCAI-SENSEI,user_sensei_103,1667897854.874,-823,1700,811,3334,2022-11-08 08:57:34.874000072
SCAI-SENSEI,user_sensei_103,1667897855.074,-828,1705,793,3326,2022-11-08 08:57:35.073999882
SCAI-SENSEI,user_sensei_103,1667897855.274,-834,1693,771,3298,2022-11-08 08:57:35.273999929
SCAI-SENSEI,user_sensei_103,1667897855.474,-827,1691,805,3323,2022-11-08 08:57:35.473999977
SCAI-SENSEI,user_sensei_103,1667897855.674,-820,1690,782,3292,2022-11-08 08:57:35.674000025
SCAI-SENSEI,user_sensei_103,1667897855.874,-826,1690,785,3301,2022-11-08 08:57:35.874000072
