projectId,userId,time,x,y,z,1d_signal,timestamp
SCAI-SENSEI,user_sensei_223,1668441552.703,238,215,2025,2478,2022-11-14 15:59:12.703000069
SCAI-SENSEI,user_sensei_223,1668441552.903,196,237,2161,2594,2022-11-14 15:59:12.903000116
SCAI-SENSEI,user_sensei_223,1668441553.103,-3,291,2031,2325,2022-11-14 15:59:13.102999926
SCAI-SENSEI,user_sensei_223,1668441553.303,-14,50,2078,2142,2022-11-14 15:59:13.302999973
SCAI-SENSEI,user_sensei_223,1668441553.503,6,-56,2062,2124,2022-11-14 15:59:13.503000020
SCAI-SENSEI,user_sensei_223,1668441553.703,15,9,2156,2180,2022-11-14 15:59:13.703000069
SCAI-SENSEI,user_sensei_223,1668441553.903,-17,191,2121,2329,2022-11-14 15:59:13.903000116
SCAI-SENSEI,user_sensei_223,1668441554.103,75,253,2124,2452,2022-11-14 15:59:14.102999926
SCAI-SENSEI,user_sensei_223,1668441554.303,176,168,2015,2359,2022-11-14 15:59:14.302999973
SCAI-SENSEI,user_sensei_223,1668441554.503,168,68,2080,2316,2022-11-14 15:59:14.503000020
SCAI-SENSEI,user_sensei_223,1668441554.703,123,29,1930,2082,2022-11-14 15:59:14.703000069
SCAI-SENSEI,user_sensei_223,1668441554.903,255,174,2118,2547,2022-11-14 15:59:14.903000116
SCAI-SENSEI,user_sensei_223,1668441555.103,404,231,2073,2708,2022-11-14 15:59:15.102999926
SCAI-SENSEI,user_sensei_223,1668441555.303,475,72,1935,2482,2022-11-14 15:59:15.302999973
SCAI-SENSEI,user_sensei_223,1668441555.503,557,2,1962,2521,2022-11-14 15:59:15.503000020
SCAI-SENSEI,user_sensei_223,1668441555.703,563,298,1957,2818,2022-11-14 15:59:15.703000069
SCAI-SENSEI,user_sensei_223,1668441555.903,474,278,2205,2957,2022-11-14 15:59:15.903000116
SCAI-SENSEI,user_sensei_223,1668441556.103,488,116,2164,2768,2022-11-14 15:59:16.102999926
SCAI-SENSEI,user_sensei_223,1668441556.303,447,138,1980,2565,2022-11-14 15:59:16.302999973
SCAI-SENSEI,user_sensei_223,1668441556.503,427,110,2055,2592,2022-11-14 15:59:16.503000020
SCAI-SENSEI,user_sensei_223,1668441556.703,365,-30,2073,2468,2022-11-14 15:59:16.703000069
SCAI-SENSEI,user_sensei_223,1668441556.903,412,89,2042,2543,2022-11-14 15:59:16.903000116
SCAI-SENSEI,user_sensei_223,1668441557.103,493,173,2038,2704,2022-11-14 15:59:17.102999926
SCAI-SENSEI,user_sensei_223,1668441557.303,548,91,1966,2605,2022-11-14 15:59:17.302999973
SCAI-SENSEI,user_sensei_223,1668441557.503,710,1,1943,2654,2022-11-14 15:59:17.503000020
SCAI-SENSEI,user_sensei_223,1668441557.703,456,325,1831,2612,2022-11-14 15:59:17.703000069
SCAI-SENSEI,user_sensei_223,1668441557.903,214,223,2212,2649,2022-11-14 15:59:17.903000116
SCAI-SENSEI,user_sensei_223,1668441558.103,164,-6,1993,2163,2022-11-14 15:59:18.102999926
SCAI-SENSEI,user_sensei_223,1668441558.303,449,131,2054,2634,2022-11-14 15:59:18.302999973
SCAI-SENSEI,user_sensei_223,1668441558.503,389,329,2016,2734,2022-11-14 15:59:18.503000020
SCAI-SENSEI,user_sensei_223,1668441558.703,368,374,2125,2867,2022-11-14 15:59:18.703000069
SCAI-SENSEI,user_sensei_223,1668441558.903,387,208,2007,2602,2022-11-14 15:59:18.903000116
SCAI-SENSEI,user_sensei_223,1668441559.103,354,132,2052,2538,2022-11-14 15:59:19.102999926
SCAI-SENSEI,user_sensei_223,1668441559.303,432,130,2043,2605,2022-11-14 15:59:19.302999973
SCAI-SENSEI,user_sensei_223,1668441559.503,438,72,2032,2542,2022-11-14 15:59:19.503000020
SCAI-SENSEI,user_sensei_223,1668441559.703,428,89,2003,2520,2022-11-14 15:59:19.703000069
SCAI-SENSEI,user_sensei_223,1668441559.903,372,47,2017,2436,2022-11-14 15:59:19.903000116
SCAI-SENSEI,user_sensei_223,1668441560.103,378,52,2122,2552,2022-11-14 15:59:20.102999926
SCAI-SENSEI,user_sensei_223,1668441560.303,411,64,1904,2379,2022-11-14 15:59:20.302999973
SCAI-SENSEI,user_sensei_223,1668441560.503,244,53,1620,1917,2022-11-14 15:59:20.503000020
SCAI-SENSEI,user_sensei_223,1668441560.703,274,0,1584,1858,2022-11-14 15:59:20.703000069
SCAI-SENSEI,user_sensei_223,1668441560.903,750,10,2729,3489,2022-11-14 15:59:20.903000116
SCAI-SENSEI,user_sensei_223,1668441561.103,473,72,2423,2968,2022-11-14 15:59:21.102999926
SCAI-SENSEI,user_sensei_223,1668441561.303,417,120,1980,2517,2022-11-14 15:59:21.302999973
SCAI-SENSEI,user_sensei_223,1668441561.503,762,2,1888,2652,2022-11-14 15:59:21.503000020
SCAI-SENSEI,user_sensei_223,1668441561.703,566,107,2142,2815,2022-11-14 15:59:21.703000069
SCAI-SENSEI,user_sensei_223,1668441561.903,383,32,1979,2394,2022-11-14 15:59:21.903000116
SCAI-SENSEI,user_sensei_223,1668441562.103,581,-53,2019,2653,2022-11-14 15:59:22.102999926
SCAI-SENSEI,user_sensei_223,1668441562.303,489,34,1994,2517,2022-11-14 15:59:22.302999973
SCAI-SENSEI,user_sensei_223,1668441562.503,448,-15,2040,2503,2022-11-14 15:59:22.503000020
SCAI-SENSEI,user_sensei_223,1668441562.703,600,58,2049,2707,2022-11-14 15:59:22.703000069
SCAI-SENSEI,user_sensei_223,1668441562.903,490,-45,1976,2511,2022-11-14 15:59:22.903000116
SCAI-SENSEI,user_sensei_223,1668441563.103,524,23,2039,2586,2022-11-14 15:59:23.102999926
SCAI-SENSEI,user_sensei_223,1668441563.303,539,39,2027,2605,2022-11-14 15:59:23.302999973
SCAI-SENSEI,user_sensei_223,1668441563.503,567,-7,1985,2559,2022-11-14 15:59:23.503000020
SCAI-SENSEI,user_sensei_223,1668441563.703,539,5,1982,2526,2022-11-14 15:59:23.703000069
SCAI-SENSEI,user_sensei_223,1668441563.903,517,-69,2013,2599,2022-11-14 15:59:23.903000116
SCAI-SENSEI,user_sensei_223,1668441564.103,539,-26,1980,2545,2022-11-14 15:59:24.102999926
SCAI-SENSEI,user_sensei_223,1668441564.303,537,-21,2002,2560,2022-11-14 15:59:24.302999973
SCAI-SENSEI,user_sensei_223,1668441564.503,524,-4,2046,2574,2022-11-14 15:59:24.503000020
SCAI-SENSEI,user_sensei_223,1668441564.703,516,-20,2017,2553,2022-11-14 15:59:24.703000069
SCAI-SENSEI,user_sensei_223,1668441564.903,547,-37,2012,2596,2022-11-14 15:59:24.903000116
SCAI-SENSEI,user_sensei_223,1668441565.103,532,-38,1997,2567,2022-11-14 15:59:25.102999926
SCAI-SENSEI,user_sensei_223,1668441565.303,694,-195,2020,2909,2022-11-14 15:59:25.302999973
SCAI-SENSEI,user_sensei_223,1668441565.503,581,-59,2030,2670,2022-11-14 15:59:25.503000020
SCAI-SENSEI,user_sensei_223,1668441565.703,370,419,2274,3063,2022-11-14 15:59:25.703000069
SCAI-SENSEI,user_sensei_223,1668441565.903,554,243,2879,3676,2022-11-14 15:59:25.903000116
SCAI-SENSEI,user_sensei_223,1668441566.103,276,64,2179,2519,2022-11-14 15:59:26.102999926
SCAI-SENSEI,user_sensei_223,1668441566.303,297,87,1656,2040,2022-11-14 15:59:26.302999973
SCAI-SENSEI,user_sensei_223,1668441566.503,492,89,1520,2101,2022-11-14 15:59:26.503000020
SCAI-SENSEI,user_sensei_223,1668441566.703,520,292,2239,3051,2022-11-14 15:59:26.703000069
SCAI-SENSEI,user_sensei_223,1668441566.903,448,124,2001,2573,2022-11-14 15:59:26.903000116
SCAI-SENSEI,user_sensei_223,1668441567.103,480,156,1988,2624,2022-11-14 15:59:27.102999926
SCAI-SENSEI,user_sensei_223,1668441567.303,387,151,2089,2627,2022-11-14 15:59:27.302999973
