projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_223,1668441583.160837,554,23,2022,2599,2022-11-14 15:59:43.160836935,
SCAI-SENSEI,user_sensei_223,1668441583.3603268,579,-1,2003,2583,2022-11-14 15:59:43.360326767,
SCAI-SENSEI,user_sensei_223,1668441583.5598166,576,-9,1994,2579,2022-11-14 15:59:43.559816599,
SCAI-SENSEI,user_sensei_223,1668441583.7593062,562,3,2017,2582,2022-11-14 15:59:43.759306192,
SCAI-SENSEI,user_sensei_223,1668441583.958796,573,-29,1976,2578,2022-11-14 15:59:43.958796024,
SCAI-SENSEI,user_sensei_223,1668441584.1582859,560,-7,2004,2571,2022-11-14 15:59:44.158285856,
SCAI-SENSEI,user_sensei_223,1668441584.3577757,565,-16,2008,2589,2022-11-14 15:59:44.357775688,
SCAI-SENSEI,user_sensei_223,1668441584.5572655,557,-31,1990,2578,2022-11-14 15:59:44.557265520,
SCAI-SENSEI,user_sensei_223,1668441584.756755,715,-287,1805,2807,2022-11-14 15:59:44.756755114,
SCAI-SENSEI,user_sensei_223,1668441584.9562452,530,-102,2242,2874,2022-11-14 15:59:44.956245184,
SCAI-SENSEI,user_sensei_223,1668441585.155735,606,-79,2070,2755,2022-11-14 15:59:45.155735016,
SCAI-SENSEI,user_sensei_223,1668441585.3552248,590,113,2511,3214,2022-11-14 15:59:45.355224848,
SCAI-SENSEI,user_sensei_223,1668441585.5547147,458,86,2109,2653,2022-11-14 15:59:45.554714680,
SCAI-SENSEI,user_sensei_223,1668441585.7542043,297,168,1837,2302,2022-11-14 15:59:45.754204273,
SCAI-SENSEI,user_sensei_223,1668441585.953694,583,-55,1535,2173,2022-11-14 15:59:45.953694105,
SCAI-SENSEI,user_sensei_223,1668441586.153184,960,221,1974,3155,2022-11-14 15:59:46.153183937,
SCAI-SENSEI,user_sensei_223,1668441586.3526738,405,-13,2223,2641,2022-11-14 15:59:46.352673769,
SCAI-SENSEI,user_sensei_223,1668441586.5521636,419,25,2243,2687,2022-11-14 15:59:46.552163601,
SCAI-SENSEI,user_sensei_223,1668441586.7516532,407,223,2111,2741,2022-11-14 15:59:46.751653194,
SCAI-SENSEI,user_sensei_223,1668441586.951143,626,87,1906,2619,2022-11-14 15:59:46.951143026,
SCAI-SENSEI,user_sensei_223,1668441587.1506329,658,157,1804,2619,2022-11-14 15:59:47.150632858,
SCAI-SENSEI,user_sensei_223,1668441587.3501227,580,531,2132,3243,2022-11-14 15:59:47.350122690,
SCAI-SENSEI,user_sensei_223,1668441587.5496125,576,548,1962,3086,2022-11-14 15:59:47.549612522,
SCAI-SENSEI,user_sensei_223,1668441587.749102,548,737,1892,3177,2022-11-14 15:59:47.749102116,
SCAI-SENSEI,user_sensei_223,1668441587.948592,362,299,2026,2687,2022-11-14 15:59:47.948591948,
SCAI-SENSEI,user_sensei_223,1668441588.148082,508,430,1875,2813,2022-11-14 15:59:48.148082018,
SCAI-SENSEI,user_sensei_223,1668441588.3475718,518,540,1954,3012,2022-11-14 15:59:48.347571850,
